bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price(k),sqft_lot(k),sqft_living(k)
3,1.0,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,228.0,9.2,1.2
5,2.5,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,345.0,9.1,3.2
3,1.75,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,600.0,4.1,1.4
2,1.75,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,585.0,8.6,2.0
5,2.25,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,920.0,6.0,2.7
4,2.5,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,885.0,5.0,2.8
4,2.5,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,292.5,4.5,2.2
3,2.5,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,301.0,4.8,2.4
5,3.25,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,951.0,14.3,3.2
4,3.0,2.0,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,430.0,10.0,1.8
3,2.25,1.0,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,650.0,21.2,2.2
3,1.75,1.0,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,289.0,8.4,1.3
3,1.75,2.0,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,505.0,8.7,2.5
3,1.75,3.0,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,549.0,1.0,1.5
3,2.25,1.0,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,425.0,6.0,1.7
3,2.75,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,317.6,3.8,2.8
4,2.5,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,975.0,11.0,2.7
4,2.5,2.0,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,287.0,4.6,2.2
3,1.0,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,204.0,12.1,1.0
5,2.25,1.0,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,1325.0,20.2,3.2
5,3.25,1.0,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,1040.0,50.1,4.8
3,2.0,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,325.0,5.6,1.3
4,2.0,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,571.0,7.8,2.8
4,2.5,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,360.0,5.0,2.4
3,1.75,1.0,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,349.0,50.5,1.8
4,4.0,2.0,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.987,832.5,35.1,3.4
4,1.75,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,380.0,7.3,1.8
3,1.0,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,480.0,5.1,1.0
3,1.0,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,410.0,5.1,1.4
4,2.5,2.0,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,720.0,39.7,3.4
3,2.5,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,390.0,5.1,2.4
4,2.5,2.0,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,360.0,5.9,1.9
2,1.0,1.0,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,355.0,6.7,2.0
3,1.5,1.0,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,356.0,8.7,1.7
3,1.0,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,315.0,6.6,1.0
3,1.5,2.0,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,940.0,3.6,2.1
5,2.25,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,305.0,8.4,2.7
3,3.25,2.0,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,461.0,6.3,2.8
2,2.25,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,215.0,2.0,1.6
2,1.75,2.0,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,335.0,1.1,1.0
4,2.5,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,243.5,7.4,2.0
5,2.75,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,1099.9,6.4,3.5
3,1.0,1.0,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,153.0,10.5,1.2
3,1.5,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,430.0,5.0,1.6
3,1.5,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,700.0,5.0,1.6
4,2.5,1.0,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,905.0,10.2,3.3
3,1.75,1.0,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,247.5,15.7,2.0
4,1.5,1.0,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,199.0,6.4,1.2
3,1.75,1.0,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,314.0,41.8,1.8
3,2.5,2.0,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,437.5,36.8,2.3
3,2.5,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,850.8,13.2,2.1
3,2.0,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,555.0,3.5,2.0
3,2.25,2.0,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,700.0,107.6,2.2
3,2.5,2.0,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,1088.0,8.1,2.9
3,1.0,1.0,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,290.0,33.9,1.2
3,2.5,1.0,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,375.0,10.0,2.3
3,1.0,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,460.0,4.0,1.7
2,1.75,1.0,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,188.5,2.5,1.2
4,2.5,2.0,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,680.0,28.0,3.1
5,1.75,2.0,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,470.0,12.3,2.0
4,2.5,2.0,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,597.8,9.6,2.3
3,1.75,1.0,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,570.0,3.3,1.3
3,1.75,1.0,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,272.5,12.6,1.5
3,1.75,1.0,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,330.0,6.0,2.1
4,2.5,2.0,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,480.0,16.2,3.2
3,3.5,2.0,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,740.5,6.4,4.4
3,3.5,3.0,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,518.5,1.1,1.6
2,1.0,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,205.4,6.8,0.9
4,2.0,1.0,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,171.8,9.6,1.6
4,1.0,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,535.0,3.0,1.6
3,2.5,1.0,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,660.0,6.5,2.4
3,2.0,1.0,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,391.5,9.1,1.4
2,1.0,1.0,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,395.0,6.0,0.8
4,1.75,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,445.0,4.4,2.1
3,2.25,2.0,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,770.0,10.2,2.9
4,2.75,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,1450.0,17.8,2.8
3,2.25,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,445.0,8.2,2.1
4,2.25,1.0,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,260.0,8.8,2.2
5,3.5,2.0,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,822.5,5.0,2.3
4,2.5,2.0,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,430.0,4.3,2.1
3,1.75,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,212.0,7.9,1.1
4,2.25,1.0,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,660.5,9.6,2.0
3,3.5,1.5,0,0,3,9,2460,1490,1989,0,98052,47.697,-122.072,784.0,111.1,4.0
3,2.5,2.0,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,453.2,2.3,2.0
4,3.5,3.0,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,675.0,2.3,2.1
3,1.75,1.0,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,199.0,17.4,1.3
4,1.75,1.0,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,220.0,7.8,2.0
4,2.25,1.0,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,452.0,10.0,2.6
2,1.0,1.0,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,382.5,4.4,1.2
3,2.25,3.0,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,520.0,1.2,1.2
2,1.0,1.0,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,665.0,3.2,1.1
5,2.5,1.0,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,527.7,9.4,2.8
3,1.0,1.0,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,205.0,8.6,1.6
3,1.0,1.0,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,420.0,8.1,1.1
4,2.25,1.0,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,500.0,8.5,2.0
4,2.5,2.0,0,0,4,9,3670,0,1994,0,98077,47.7421,-122.026,921.5,315.4,3.7
4,1.0,2.0,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,890.0,4.0,2.6
2,2.5,2.0,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,430.0,61.0,2.4
5,2.0,1.0,0,0,4,8,1130,1130,1960,0,98032,47.3887,-122.286,258.0,12.5,2.3
3,1.0,1.0,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,511.0,3.5,1.4
3,2.0,2.0,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,532.2,3.1,1.4
3,1.0,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,560.0,5.0,1.1
3,1.0,1.0,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,283.0,8.2,1.2
4,3.25,2.0,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,2250.0,19.8,5.2
1,1.0,1.0,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,350.0,5.1,0.7
3,1.0,1.0,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,215.0,7.7,1.2
5,3.5,2.0,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,650.0,25.2,4.0
4,2.75,1.0,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,320.0,7.5,2.6
3,2.0,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,247.0,7.2,1.3
4,1.75,1.0,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,320.0,11.2,1.8
5,2.25,1.0,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,255.0,8.6,2.1
3,1.75,1.0,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,438.0,9.7,1.8
3,2.5,2.0,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,900.0,16.6,3.4
3,2.75,1.0,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,441.0,7.3,1.9
3,2.0,1.0,0,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,420.0,38.3,2.0
3,1.75,1.0,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,370.0,7.0,1.6
2,1.75,1.0,0,0,5,5,700,640,1949,0,98198,47.408,-122.327,270.0,7.2,1.3
4,2.5,2.0,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,807.1,4.5,2.7
3,2.5,1.0,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,653.0,9.8,2.7
3,2.0,1.0,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,371.5,8.3,1.4
3,1.75,1.0,0,0,3,7,1560,0,1954,0,98166,47.4776,-122.337,284.0,21.0,1.6
3,1.75,1.0,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,272.0,7.1,2.2
3,1.5,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,313.0,7.9,1.3
4,2.5,2.0,0,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,917.5,35.0,3.9
4,2.25,2.0,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,673.0,8.2,2.6
3,2.5,2.0,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,425.0,1.1,1.1
5,2.75,1.0,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.308,400.0,5.4,2.0
3,1.0,1.0,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,385.0,4.8,1.2
3,1.5,1.0,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,270.0,7.6,2.0
2,1.0,1.0,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.358,330.0,8.2,1.4
3,2.5,2.0,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,260.0,5.8,1.7
4,3.0,1.5,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,470.0,5.1,2.4
4,3.0,2.0,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,589.0,9.6,2.4
2,1.5,2.0,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,163.5,3.4,1.0
4,2.75,2.0,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,835.0,13.4,3.1
5,3.0,1.0,0,2,4,10,2090,2000,1986,0,98033,47.6627,-122.188,1095.0,12.8,4.1
4,1.75,1.0,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.379,269.0,10.0,1.5
3,2.5,2.0,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,560.0,8.7,1.9
4,1.0,1.5,0,0,4,6,1330,0,1901,0,98103,47.65,-122.34,615.0,2.4,1.3
3,2.25,1.0,0,0,3,8,1430,800,1975,0,98052,47.6647,-122.153,585.2,10.0,2.2
3,1.75,1.0,0,0,3,7,1220,430,1977,0,98034,47.726,-122.191,305.0,9.5,1.6
3,1.0,1.0,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,167.0,8.8,1.2
3,2.5,1.0,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,799.0,9.9,2.1
3,2.5,1.0,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,400.0,7.5,2.2
3,1.0,1.0,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,230.0,10.2,1.1
3,2.5,2.0,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.347,256.9,5.0,1.7
4,2.0,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,423.0,6.5,2.0
3,2.5,2.0,0,0,3,8,2150,0,2007,0,98126,47.5488,-122.372,465.0,4.1,2.2
3,2.5,2.0,0,0,3,7,1910,0,1997,0,98024,47.5385,-121.911,440.0,66.2,1.9
3,1.75,1.0,0,0,4,7,1350,0,1969,0,98038,47.4058,-121.994,385.0,155.1,1.4
3,1.0,1.0,0,0,4,6,860,0,1943,0,98056,47.5093,-122.184,210.0,11.7,0.9
3,2.5,2.0,0,0,3,8,1940,0,1994,0,98042,47.3777,-122.165,297.0,15.0,1.9
3,1.0,1.0,0,0,3,7,1010,0,1952,0,98107,47.675,-122.394,470.0,5.0,1.0
3,1.5,1.0,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,226.5,7.4,1.3
3,1.0,1.0,0,0,4,6,910,0,1962,0,98059,47.4787,-122.158,274.2,8.4,0.9
4,1.75,1.0,0,0,4,9,1630,850,1966,0,98040,47.5378,-122.219,840.0,11.0,2.5
3,2.5,2.0,0,0,3,8,2440,0,2010,0,98052,47.7073,-122.114,677.9,4.6,2.4
3,1.0,1.0,0,0,3,7,1010,0,1915,0,98116,47.5733,-122.381,425.0,5.9,1.0
2,0.75,1.0,0,0,3,6,900,0,1941,0,98166,47.4604,-122.339,180.2,9.6,0.9
6,3.0,2.0,0,0,3,7,1600,700,1920,1994,98133,47.7067,-122.343,464.0,3.4,2.3
4,2.25,2.0,0,0,3,8,1550,0,1993,0,98038,47.354,-122.047,320.0,7.6,1.6
3,2.25,2.0,0,0,3,8,1060,210,2014,0,98105,47.6647,-122.284,625.5,1.6,1.3
4,2.5,1.0,0,0,3,9,2240,0,1983,0,98074,47.6143,-122.017,592.5,12.0,2.2
3,2.5,2.0,0,0,3,9,2714,0,2005,0,98001,47.3185,-122.275,465.0,17.9,2.7
4,2.75,2.0,0,0,3,8,1720,0,1978,0,98118,47.5458,-122.268,477.0,6.3,1.7
2,1.0,1.0,0,0,3,6,850,0,1923,0,98168,47.4889,-122.299,280.0,16.4,0.8
5,3.0,1.0,0,3,3,9,1870,1430,1957,1991,98040,47.5673,-122.21,1505.0,33.5,3.3
3,2.5,2.0,0,0,3,8,2250,0,2000,0,98146,47.5133,-122.379,445.8,5.7,2.2
2,2.25,1.0,0,3,3,8,1950,1950,1947,0,98144,47.5884,-122.291,1072.0,14.9,3.9
2,1.5,1.0,0,0,4,8,1320,0,1947,0,98177,47.7145,-122.367,467.0,10.8,1.3
4,2.5,2.0,0,0,3,10,2760,0,1999,0,98075,47.5836,-122.026,686.0,6.4,2.8
3,2.0,1.0,0,0,3,7,1350,400,1961,0,98198,47.398,-122.299,280.0,9.8,1.8
4,2.25,2.0,0,0,3,8,2330,0,1987,0,98011,47.7663,-122.215,527.0,19.4,2.3
3,2.25,1.0,0,0,4,8,1780,440,1966,0,98030,47.3758,-122.217,325.0,16.0,2.2
3,2.25,2.0,0,0,3,7,2020,0,1994,0,98038,47.3828,-122.023,328.0,8.4,2.0
3,2.25,1.0,0,0,5,7,1250,0,1942,0,98146,47.5123,-122.373,390.0,7.5,1.2
2,2.0,1.0,0,0,3,8,1510,0,2005,0,98053,47.7076,-122.013,480.0,6.5,1.5
4,2.25,1.0,0,0,4,7,1120,600,1978,0,98023,47.2922,-122.371,265.0,9.8,1.7
3,1.0,1.0,0,0,4,7,980,450,1961,0,98031,47.4075,-122.214,235.0,15.2,1.4
3,2.5,2.0,0,0,3,7,1480,0,2004,0,98053,47.6794,-122.034,516.5,4.7,1.5
2,1.75,2.0,1,4,3,7,1230,220,1915,1978,98166,47.4497,-122.375,655.0,15.8,1.4
4,2.75,1.0,0,0,5,7,2280,0,1960,0,98059,47.5218,-122.164,500.0,15.3,2.3
6,2.75,1.0,0,0,3,8,1780,1160,1978,0,98023,47.3103,-122.339,315.0,7.4,2.9
2,1.0,1.0,0,0,3,6,1000,0,1961,0,98024,47.5687,-121.899,213.0,10.2,1.0
3,1.5,1.5,0,0,5,7,1620,860,1947,0,98108,47.5575,-122.303,475.0,5.3,2.5
5,4.0,2.0,0,0,3,10,3760,0,1983,0,98033,47.6489,-122.183,1025.0,28.0,3.8
3,2.0,1.0,0,0,5,7,1640,580,1976,0,98010,47.3459,-121.95,416.0,94.3,2.2
4,1.0,1.5,0,0,3,7,1670,300,1904,2005,98122,47.6136,-122.303,410.0,4.7,2.0
3,3.5,2.0,0,0,3,10,3530,300,1993,0,98077,47.7641,-122.023,800.0,221.3,3.8
6,2.5,1.0,0,2,4,9,2350,2060,1965,0,98003,47.3376,-122.324,472.0,14.0,4.4
3,1.75,1.0,0,0,4,7,1430,0,1968,0,98003,47.3173,-122.319,225.0,8.5,1.4
2,1.0,1.0,0,0,3,6,830,0,1940,0,98126,47.5308,-122.376,210.0,6.0,0.8
2,1.0,1.5,0,0,2,7,1430,0,1925,0,98115,47.6727,-122.299,455.0,5.0,1.4
3,1.0,1.0,0,0,4,6,1300,0,1954,0,98002,47.3221,-122.216,225.0,8.3,1.3
2,1.0,1.0,0,2,4,7,790,240,1918,0,98103,47.6779,-122.353,480.0,3.1,1.0
3,2.5,2.0,0,0,3,9,2740,0,1990,0,98023,47.3076,-122.395,363.0,11.9,2.7
4,2.5,1.0,1,4,3,9,1830,1820,2000,0,98074,47.6338,-122.072,2400.0,8.4,3.6
2,1.5,1.0,0,0,3,6,720,0,1954,0,98106,47.5218,-122.357,181.0,5.1,0.7
4,2.0,1.0,0,0,4,7,2010,0,1976,0,98002,47.2785,-122.213,250.0,7.3,2.0
3,1.75,1.0,0,0,4,6,770,790,1918,0,98103,47.6846,-122.345,481.0,3.0,1.6
3,2.0,1.0,0,0,4,7,1240,570,1978,0,98032,47.3656,-122.278,260.0,7.2,1.8
4,2.5,2.0,0,0,3,9,3360,0,2001,0,98058,47.4369,-122.111,455.0,7.7,3.4
3,2.25,2.0,0,0,3,8,1510,0,1991,0,98045,47.4616,-121.711,415.0,36.2,1.5
3,1.0,1.0,0,0,3,7,800,600,1953,0,98118,47.5405,-122.27,349.5,3.5,1.4
3,2.5,2.0,0,0,3,7,1730,0,1987,0,98030,47.3507,-122.178,245.0,7.4,1.7
2,2.0,1.5,0,2,5,7,1420,0,1928,0,98115,47.6979,-122.32,592.5,9.2,1.4
4,1.75,1.0,0,0,4,7,1180,1180,1955,0,98106,47.5278,-122.345,385.0,7.6,2.4
3,1.75,1.0,0,0,4,7,1200,380,1974,0,98059,47.4756,-122.147,315.0,11.5,1.6
3,1.0,1.0,0,0,3,7,1230,0,1979,0,98045,47.4437,-121.772,255.0,10.2,1.2
4,2.5,2.0,0,0,3,8,2460,0,2006,0,98052,47.7048,-122.109,693.0,4.4,2.5
3,1.0,1.5,0,0,3,8,1460,200,1911,0,98112,47.6362,-122.302,780.0,4.4,1.7
